id,name
1,World
8,Albania
12,Algeria
24,Angola
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
50,Bangladesh
51,Armenia
56,Belgium
64,Bhutan
68,Bolivia (Plurinational State of)
70,Bosnia and Herzegovina
72,Botswana
76,Brazil
90,Solomon Islands
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
120,Cameroon
124,Canada
132,Cabo Verde
140,Central African Republic
144,Sri Lanka
148,Chad
152,Chile
156,China
170,Colombia
174,Comoros
178,Congo
180,Democratic Republic of the Congo
188,Costa Rica
191,Croatia
196,Cyprus
203,Czechia
204,Benin
208,Denmark
214,Dominican Republic
218,Ecuador
222,El Salvador
231,Ethiopia
233,Estonia
242,Fiji
246,Finland
250,France
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
288,Ghana
296,Kiribati
300,Greece
320,Guatemala
324,Guinea
332,Haiti
340,Honduras
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran (Islamic Republic of)
368,Iraq
372,Ireland
376,Israel
380,Italy
384,Côte d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
410,Republic of Korea
412,Kosovo
417,Kyrgyzstan
418,Lao People's Democratic Republic
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
478,Mauritania
480,Mauritius
484,Mexico
496,Mongolia
498,Republic of Moldova
499,Montenegro
504,Morocco
508,Mozambique
516,Namibia
524,Nepal
528,Netherlands
548,Vanuatu
558,Nicaragua
562,Niger
566,Nigeria
578,Norway
583,Micronesia (Federated States of)
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
642,Romania
643,Russian Federation
646,Rwanda
678,Sao Tome and Principe
686,Senegal
690,Seychelles
694,Sierra Leone
703,Slovakia
704,Viet Nam
705,Slovenia
710,South Africa
716,Zimbabwe
724,Spain
728,South Sudan
729,Sudan
748,Eswatini
752,Sweden
756,Switzerland
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
768,Togo
776,Tonga
788,Tunisia
792,Turkey
798,Tuvalu
800,Uganda
804,Ukraine
807,North Macedonia
818,Egypt
826,United Kingdom of Great Britain and Northern Ireland
834,United Republic of Tanzania
840,United States of America
854,Burkina Faso
858,Uruguay
860,Uzbekistan
